name,firstName,lastName,playerId,height,weight,age,isManOfTheMatch,isActive,isOpta,playedPositions,positionText,playedPositionsShort,teamId,teamName,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,rating,ranking,apps,subOn,minsPlayed,manOfTheMatch,yellowCard,redCard,goal,assistTotal,shotsPerGame,aerialWonPerGame,passSuccess
Gonzalo Higuaín,Gonzalo,Higuaín,19729,184,87,29,false,true,true,-FW-,Forward,FW,87,Juventus,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.5132,33,25,5,1859,6,0.0,0.0,19,2,3.24,0.52,81.13207547169812
Sadio Mané,Sadio,Mané,109915,175,69,24,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),26,Liverpool,6335,2016/2017,2,252,gb-eng,sn,Premier League,EPL,7.512727272727273,34,22,1,1855,2,3.0,0.0,11,4,2.227272727272727,1.2272727272727273,78.91077636152954
Giacomo Bonaventura,Giacomo,Bonaventura,40384,181,75,27,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),80,AC Milan,6461,2016/2017,5,108,it,it,Serie A,ISA,7.502105263157894,35,19,0,1574,1,3.0,0.0,3,2,2.473684210526316,0.5263157894736842,85.3099730458221
Miralem Pjanic,Miralem,Pjanic,30226,180,70,26,false,true,true,-MC-,Midfielder,M(C),87,Juventus,6461,2016/2017,5,108,it,ba,Serie A,ISA,7.495789473684211,36,19,3,1361,2,3.0,0.0,5,5,1.9473684210526316,0.7894736842105263,86.92468619246861
Nicolás Otamendi,Nicolás,Otamendi,75691,183,81,29,false,true,true,-DC-,Defender,D(C),167,Manchester City,6335,2016/2017,2,252,gb-eng,ar,Premier League,EPL,7.4925000000000015,37,20,1,1692,2,8.0,0.0,0,1,0.35,4.25,86.86192468619247
Andy Carroll,Andy,Carroll,23383,193,79,28,false,true,true,-FW-,Forward,FW,29,West Ham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.492500000000001,38,12,3,800,2,2.0,0.0,6,0,2.1666666666666665,9.166666666666666,56.25
Hakan Calhanoglu,Hakan,Calhanoglu,110373,178,76,23,false,true,true,-FW-MC-ML-MR-,Midfielder,"M(CLR),FW",36,Bayer Leverkusen,6392,2016/2017,3,81,de,tr,Bundesliga,GB,7.492,39,15,1,1217,3,1.0,0.0,6,5,3.1333333333333333,1.6666666666666667,77.59067357512953
Naby Keita,Naby,Keita,243510,172,64,22,false,true,true,-MC-,Midfielder,M(C),7614,RasenBallsport Leipzig,6392,2016/2017,3,81,de,gn,Bundesliga,GB,7.491578947368422,40,19,2,1393,1,3.0,0.0,4,5,1.368421052631579,0.47368421052631576,79.46859903381642
Romelu Lukaku,Romelu,Lukaku,78498,190,94,23,false,true,true,-FW-,Forward,FW,31,Everton,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.482083333333332,41,24,1,2097,4,3.0,0.0,16,4,2.625,3.625,64.64
Thomas Meunier,Thomas,Meunier,104376,190,82,25,false,true,true,-DR-,Defender,D(R),304,Paris Saint Germain,6318,2016/2017,22,74,fr,be,Ligue 1,FL1,7.472,42,15,3,1116,1,1.0,0.0,1,2,0.7333333333333333,1.7333333333333334,85.77712609970675
Óscar Trejo,Óscar,Trejo,16942,180,79,28,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),246,Toulouse,6318,2016/2017,22,74,fr,ar,Ligue 1,FL1,7.461176470588235,43,17,1,1357,4,2.0,0.0,2,5,1.0588235294117647,0.8235294117647058,74.47988904299584
Kevin De Bruyne,Kevin,De Bruyne,73084,181,68,25,false,true,true,-AMC-AML-AMR-FW-,Midfielder,"AM(CLR),FW",167,Manchester City,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.453749999999999,44,24,2,1902,3,4.0,0.0,4,9,2.7083333333333335,0.375,81.76318063958513
Thomas Lemar,Thomas,Lemar,132962,170,58,21,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),248,Monaco,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.453636363636362,45,22,4,1709,3,0.0,0.0,7,6,1.6818181818181819,0.22727272727272727,83.27316486161251
Philippe Coutinho,Philippe,Coutinho,80767,171,71,24,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),26,Liverpool,6335,2016/2017,2,252,gb-eng,br,Premier League,EPL,7.451666666666666,46,18,2,1295,4,2.0,0.0,5,5,3.2222222222222223,0.2222222222222222,83.0166270783848
Fernando Marçal,Fernando,Marçal,121718,178,72,28,false,true,true,-DL-,Defender,D(L),426,Guingamp,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.448636363636364,47,22,0,1879,3,3.0,1.0,0,6,0.45454545454545453,1.7272727272727273,78.36691410392365
Frederik Sörensen,Frederik,Sörensen,93459,194,88,24,false,true,true,-DC-DR-,Defender,D(CR),282,FC Cologne,6392,2016/2017,3,81,de,dk,Bundesliga,GB,7.446666666666666,48,21,0,1890,2,5.0,0.0,0,2,0.6666666666666666,2.6666666666666665,71.53846153846153
Fabinho,Fabio Henrique,Tavares,115916,188,78,23,false,true,true,-DMC-DR-,Midfielder,"D(R),DMC",248,Monaco,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.444399999999999,49,25,4,1991,1,5.0,0.0,5,1,0.8,1.16,85.1492537313433
Marco Verratti,Marco,Verratti,91961,165,60,24,false,true,true,-DMC-,Midfielder,DMC,304,Paris Saint Germain,6318,2016/2017,22,74,fr,it,Ligue 1,FL1,7.439444444444446,50,18,3,1279,2,4.0,0.0,2,3,0.2777777777777778,0.1111111111111111,87.99472295514512
Ander Herrera,Ander,Herrera,71174,182,70,27,false,true,true,-MC-,Midfielder,M(C),32,Manchester United,6335,2016/2017,2,252,gb-eng,es,Premier League,EPL,7.4381818181818184,51,22,2,1819,4,4.0,1.0,0,3,1.3636363636363635,1.0454545454545454,88.12423873325214
Emerson,Emerson,Palmieri dos Santos,101955,176,63,22,false,true,true,-DL-ML-,Defender,"D(L),M(L)",84,Roma,6461,2016/2017,5,108,it,br,Serie A,ISA,7.433333333333333,52,18,2,1418,0,1.0,0.0,0,1,0.5555555555555556,1.2777777777777777,87.01986754966887
Sead Kolasinac,Sead,Kolasinac,110260,183,85,23,false,true,true,-DL-ML-,Defender,"D(L),M(L)",39,Schalke 04,6392,2016/2017,3,81,de,ba,Bundesliga,GB,7.431764705882353,53,17,1,1405,1,4.0,0.0,2,4,0.7647058823529411,2.2941176470588234,70.15384615384616
Benjamin Hübner,Benjamin,Hübner,133346,193,85,27,false,true,true,-DC-,Defender,D(C),1211,Hoffenheim,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.430666666666667,54,15,0,1291,1,5.0,0.0,0,2,0.3333333333333333,2.533333333333333,85.92848904267589
Marcos Alonso,Marcos,Alonso,84008,188,81,26,false,true,true,-DC-DL-ML-,Defender,"D(CL),M(L)",15,Chelsea,6335,2016/2017,2,252,gb-eng,es,Premier League,EPL,7.427,55,20,1,1720,1,2.0,0.0,4,2,1.45,2.4,76.11044417767107
Virgil van Dijk,Virgil,van Dijk,95408,193,92,25,false,true,true,-DC-,Defender,D(C),18,Southampton,6335,2016/2017,2,252,gb-eng,nl,Premier League,EPL,7.423809523809524,56,21,0,1854,3,3.0,1.0,1,0,0.8095238095238095,4.666666666666667,84.18367346938776
Lorenzo Insigne,Lorenzo,Insigne,83390,163,59,25,false,true,true,-AMC-AML-FW-,Forward,"AM(CL),FW",276,Napoli,6461,2016/2017,5,108,it,it,Serie A,ISA,7.423750000000002,57,24,2,1818,4,1.0,0.0,8,6,3.7916666666666665,0.0,86.3536316947909
Tiemoué Bakayoko,Tiemoué,Bakayoko,135211,184,72,22,false,true,true,-DMC-,Midfielder,DMC,248,Monaco,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.419090909090908,58,22,3,1663,1,2.0,1.0,2,1,0.9090909090909091,2.1818181818181817,87.84425451092119
Danny Rose,Danny,Rose,24711,173,72,26,false,true,true,-DL-ML-,Defender,"D(L),M(L)",30,Tottenham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.418333333333333,59,18,0,1533,1,8.0,0.0,2,2,1.2777777777777777,1.5,77.2669220945083
Wilfried Zaha,Wilfried,Zaha,85059,180,66,24,false,true,true,-AML-AMR-,Midfielder,AM(LR),162,Crystal Palace,6335,2016/2017,2,252,gb-eng,ci,Premier League,EPL,7.408636363636364,60,22,1,1892,3,6.0,0.0,4,6,1.3181818181818181,0.36363636363636365,80.04640371229699
Marek Hamsik,Marek,Hamsik,13475,183,79,29,false,true,true,-AMC-,Midfielder,AM(C),276,Napoli,6461,2016/2017,5,108,it,sk,Serie A,ISA,7.4075999999999995,61,25,1,2051,3,1.0,0.0,10,7,2.28,0.68,88.82874015748031
Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,44120,187,80,27,false,true,true,-FW-ML-MR-,Forward,"M(LR),FW",44,Borussia Dortmund,6392,2016/2017,3,81,de,ga,Bundesliga,GB,7.4068421052631574,62,19,0,1687,3,2.0,0.0,17,1,3.526315789473684,1.0,73.78048780487805
Sergej Milinkovic-Savic,Sergej,Milinkovic-Savic,288767,191,76,21,false,true,true,-AMC-,Midfielder,AM(C),77,Lazio,6461,2016/2017,5,108,it,rs,Serie A,ISA,7.403043478260868,63,23,2,1858,2,4.0,0.0,4,3,2.0869565217391304,4.782608695652174,71.49220489977728
